timestamp,status,direction,grade,trend,pullback,rejection,volume,open_interest,poc,vah,val,vwap_pullback,vwap_rejection,setup,long_blocked_ema,short_blocked_ema,long_blocked_vwap,short_blocked_vwap,bar_start,current_price,open,high,low,close,bar_volume,sma20_volume,elapsed_seconds,ema_10,vwap,ema_slope,engine_version
2026-08-20T14:21:25.836609+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Rejected,None,None,,,,,,2026-08-20T14:20:00+05:30,57708.2,57715.0,57715.0,57700.8,57708.2,1140.0,4804.5,85.836609,57742.194299944895,57754.96626011351,0.10909090909262886,fd8e6f05
2026-08-20T14:21:27.837439+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Below,None,Bearish,,,,,,2026-08-20T14:20:00+05:30,57704.2,57715.0,57715.0,57700.8,57704.2,1200.0,4804.5,87.837439,57741.46702721762,57754.960130403284,-0.618181818179437,fd8e6f05
2026-08-20T14:21:31.838872+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Flat,Below,Below,Below,None,Bearish,,,,,pullback,2026-08-20T14:20:00+05:30,57704.2,57715.0,57715.0,57700.8,57704.2,1230.0,4804.5,91.838872,57741.46702721762,57754.95706610323,-0.618181818179437,fd8e6f05
2026-08-20T14:21:45.843907+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Flat,Below,Below,Rejected,None,None,,,,,,2026-08-20T14:20:00+05:30,57710.0,57715.0,57715.0,57700.8,57710.0,1680.0,4804.5,105.843907,57742.521572672165,57754.911085645355,1.0181818181808922,fd8e6f05
2026-08-20T14:21:49.845348+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Normal,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:20:00+05:30,57707.0,57715.0,57715.0,57700.8,57707.0,1710.0,4804.5,109.845348,57741.97611812671,57754.9081961281,1.127272727266245,fd8e6f05
2026-08-20T14:21:53.846838+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:20:00+05:30,57738.8,57715.0,57738.8,57700.8,57738.8,1740.0,4804.5,113.846838,57747.75793630853,57754.90586177783,6.909090909088263,fd8e6f05
2026-08-20T14:22:03.850521+05:30,WAIT,Neutral,Ignore,Neutral,None,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:20:00+05:30,57705.0,57715.0,57738.8,57700.8,57705.0,2010.0,4804.5,123.850521,57741.61248176308,57754.89712494726,-0.618181818179437,fd8e6f05
2026-08-20T14:22:07.852037+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:20:00+05:30,57727.6,57715.0,57738.8,57700.8,57727.6,2130.0,4804.5,127.852037,57745.72157267217,57754.886459777044,3.490909090913192,fd8e6f05
2026-08-20T14:22:19.856098+05:30,WAIT,Neutral,Ignore,Neutral,None,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:20:00+05:30,57705.0,57715.0,57738.8,57700.8,57705.0,2190.0,4804.5,139.856098,57741.61248176308,57754.88180996566,-0.4000000000014552,fd8e6f05
2026-08-20T14:22:53.867339+05:30,WAIT,Neutral,Ignore,Bearish,None,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:20:00+05:30,57705.0,57715.0,57738.8,57700.8,57705.0,2760.0,4804.5,173.867339,57741.61248176308,57754.82477130477,-6.145454545454413,fd8e6f05
2026-08-20T14:22:57.868993+05:30,WAIT,Neutral,Ignore,Bearish,None,Bearish,Normal,Flat,Below,Below,Below,None,Bearish,,,pullback,,pullback,2026-08-20T14:20:00+05:30,57700.0,57715.0,57738.8,57700.0,57700.0,2760.0,4804.5,177.868993,57740.70339085399,57754.82477130477,-7.0545454545426765,fd8e6f05
2026-08-20T14:23:19.876551+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:20:00+05:30,57732.8,57715.0,57738.8,57699.6,57732.8,3300.0,4804.5,199.876551,57746.66702721762,57754.78510280149,5.0545454545426765,fd8e6f05
2026-08-20T14:23:35.882542+05:30,WAIT,Neutral,Ignore,Neutral,None,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:20:00+05:30,57708.4,57715.0,57738.8,57699.6,57708.4,3720.0,4804.5,215.882542,57742.23066358126,57754.76022345026,0.618181818179437,fd8e6f05
2026-08-20T14:24:29.899197+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:20:00+05:30,57728.0,57715.0,57738.8,57699.6,57728.0,4200.0,4804.5,269.899197,57745.79429994489,57754.71755880941,0.0,fd8e6f05
2026-08-20T14:24:33.901016+05:30,WAIT,Neutral,Ignore,Neutral,None,Bearish,Normal,Flat,Below,Below,Rejected,None,Bearish,,,,,,2026-08-20T14:20:00+05:30,57709.0,57715.0,57738.8,57699.6,57709.0,4380.0,4804.5,273.901016,57742.33975449035,57754.703383323336,-3.4545454545441316,fd8e6f05
2026-08-20T14:25:01.910452+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Rejected,None,None,,,,,,2026-08-20T14:25:00+05:30,57709.0,57709.0,57709.0,57709.0,57709.0,0.0,4965.0,1.910452,57736.27798094665,57754.69515983926,-5.952682634604571,fd8e6f05
2026-08-20T14:25:11.914103+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:25:00+05:30,57730.0,57709.0,57730.0,57709.0,57730.0,120.0,4965.0,11.914103,57740.09616276483,57754.68563890388,-2.5345008164294995,fd8e6f05
2026-08-20T14:25:19.916855+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Rejected,None,None,,,,,,2026-08-20T14:25:00+05:30,57714.2,57709.0,57730.0,57709.0,57714.2,330.0,4965.0,19.916855,57737.2234354921,57754.67433469192,-5.4072280891559785,fd8e6f05
2026-08-20T14:25:35.922358+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Above,None,None,,,,,,2026-08-20T14:25:00+05:30,57736.0,57709.0,57736.0,57709.0,57736.0,840.0,4965.0,35.922358,57741.18707185574,57754.64592539369,-1.1526826346089365,fd8e6f05
2026-08-20T14:25:43.925048+05:30,WAIT,Neutral,Ignore,Bearish,None,None,Unknown,Flat,Below,Below,Rejected,None,None,,,,,,2026-08-20T14:25:00+05:30,57711.8,57709.0,57736.0,57709.0,57711.8,840.0,4965.0,43.925048,57736.78707185574,57754.64592539369,-5.552682634610392,fd8e6f05
2026-08-20T14:26:05.932321+05:30,WAIT,Neutral,Ignore,Bearish,Bearish,Bearish,Unknown,Flat,Below,Below,Below,None,Bearish,,,volume,,,2026-08-20T14:25:00+05:30,57696.4,57709.0,57736.0,57696.4,57696.4,1170.0,4965.0,65.932321,57733.98707185574,57754.61370272858,-2.472727272725024,fd8e6f05
