timestamp,status,direction,grade,trend,pullback,rejection,volume,open_interest,poc,vah,val,current_price,open,high,low,bar_volume,sma20_volume,elapsed_seconds,ema_10,vwap,ema_slope,engine_version
2026-08-05T15:29:03.264236+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Falling,Below,Below,Below,57830.8,57832.0,57840.0,57818.0,4110.0,3766.5,243.263725,57815.6035056818,57976.7181372549,0.14545454545441316,b69f1c49
2026-08-05T15:30:01.743688+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Unknown,Flat,Below,Below,Below,57839.0,57839.0,57839.0,57839.0,180.0,4111.5,1.743688,57818.13179390494,57974.71280294251,2.5282882231404074,b69f1c49
2026-08-05T15:30:07.759243+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Unknown,Falling,Below,Below,Below,57818.6,57839.0,57839.0,57818.6,960.0,4111.5,7.759243,57814.42270299585,57974.51335983495,-1.0353481404963532,b69f1c49
2026-08-05T15:30:17.728499+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Unknown,Falling,Below,Below,Below,57840.0,57839.0,57840.0,57818.6,1020.0,4111.5,17.726503,57818.313612086764,57974.49869685535,2.855560950418294,b69f1c49
2026-08-05T15:30:20.759356+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Unknown,Falling,Below,Below,Below,57820.2,57839.0,57840.0,57818.6,1260.0,4111.5,20.759356,57814.71361208676,57974.437610018605,0.16465185950801242,b69f1c49
2026-08-05T15:30:30.808906+05:30,WAIT,Neutral,Ignore,Neutral,None,None,High,Falling,Below,Below,Below,57820.2,57839.0,57840.0,57818.6,1260.0,4111.5,30.805012,57814.71361208676,57974.437610018605,0.41919731405505445,b69f1c49
2026-08-05T15:31:27.946743+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Falling,Below,Below,Below,57830.0,57839.0,57840.0,57818.6,1500.0,4111.5,87.946743,57816.49543026858,57974.37644160676,1.7818181818220182,b69f1c49
2026-08-05T15:31:53.993372+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Normal,Falling,Below,Below,Below,57840.0,57839.0,57840.0,57818.6,1650.0,4111.5,113.992373,57818.313612086764,57974.34156614395,3.6727272727293894,b69f1c49
2026-08-05T15:32:00.061596+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Falling,Below,Below,Below,57830.0,57839.0,57840.0,57818.6,1740.0,4111.5,120.060739,57816.49543026858,57974.32081009096,1.8545454545455868,b69f1c49
2026-08-05T15:33:00.207586+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Normal,Falling,Below,Below,Below,57840.0,57839.0,57840.0,57818.6,2370.0,4111.5,180.207586,57818.313612086764,57974.16556224899,1.8181818181838025,b69f1c49
2026-08-05T15:33:02.213898+05:30,WAIT,Neutral,Ignore,Neutral,Bullish,Bullish,Normal,Falling,Below,Below,Below,57844.0,57839.0,57844.0,57818.6,2700.0,4111.5,182.213898,57819.040884814036,57974.0927198836,2.5454545454558684,b69f1c49
2026-08-05T15:33:08.207173+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Falling,Below,Below,Below,57820.6,57839.0,57844.0,57818.6,2730.0,4111.5,188.206172,57814.78633935949,57974.08501906482,-1.7090909090911737,b69f1c49
2026-08-05T15:33:20.178265+05:30,WAIT,Neutral,Ignore,Neutral,None,Bullish,Normal,Falling,Below,Below,Below,57840.0,57839.0,57844.0,57818.6,2730.0,4111.5,200.178265,57818.313612086764,57974.08501906482,2.618181818186713,b69f1c49
2026-08-05T15:33:22.169348+05:30,WAIT,Neutral,Ignore,Neutral,None,None,Normal,Falling,Below,Below,Below,57821.6,57839.0,57844.0,57818.6,2910.0,4111.5,202.168494,57814.968157541305,57974.04466847226,-0.7272727272720658,b69f1c49
